#,Gender,Age_range,Household_type,Life_satisfaction,Isolation_score,Social_support_score,food_security_score,Housing_tenure_group,fuel-security_score,Work_Schedule,Income,lad_code,msoa_code,imd_decile,crime_rate_per_1000,green_space_pct,park_distance_m
0tgsy127veov2tvu460tgsixnb72ahji,Female,20 to 24,"Living with other adults that are non-family members, such as friends/ flatmates",8,1,2,5,,1,Working part-time,"Less than £14,900 p.a.",E09000009,E02000276,7,81.46078799553669,90.2,360.39591854838676
0u7h5yceye5v7rsbxkyz0u7hr4ak4lgh,Male,55 to 59,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",8,0,2,1,Buying the house on a mortgage,2,Working full-time,"£24,301- £37,900 p.a.",E09000003,E02000062,2,71.52628693518058,82.19999999999999,572.6834210526316
0u8jemxcu8zsqp599m6c0u8jem5tm8pu,Female,35 to 39,Living on my own (NO children or children have left home),8,0,1,0,Renting from private landlord,0,Working full-time,"More than £58,900 p.a.",E09000033,E02000967,8,372.93320499747455,68.30000000000001,182.31081575539545
0w0va5l1ey6s897w0yrpm0w0va5l19n4,Female,30 to 34,Living on my own (NO children or children have left home),7,2,1,4,Owning the house outright,1,Working part-time,"£14,901- £24,300 p.a.",E09000009,E02000257,4,81.46078799553669,72.39999999999999,368.34460372312657
0w2zdu8zui30ve8850w2z3d7bw8nufqy,Female,50 to 54,Living on my own (NO children or children have left home),7,0,2,0,Renting from private landlord,0,Working full-time,"£37,901- £58,900 p.a.",E09000008,E02000198,2,87.80214462188941,83.5,449.26696099248085
0w53flfh94y1cqv3uo0w53flds752cfj,Male,35 to 39,Living on my own (NO children or children have left home),6,2,2,5,Living in rented accommodation from Housing Association,0,Working full-time,"£24,301- £37,900 p.a.",E09000025,E02000720,4,102.94920578921285,94.69999999999999,594.9427249206346
0wdgc9shuon4b6eyo7l0wdxemf5f85s6,Female,30 to 34,Living on my own (NO children or children have left home),5,2,2,9,Living in rented accommodation from Housing Association,3,Not working- long term sick or disabled,"Less than £14,900 p.a.",E09000033,E02000981,6,372.93320499747455,89.8,438.81668114406733
0wx2a2xwuucnudgu9h41g0wx2oy4plpn,Female,55 to 59,"Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)",5,2,2,0,Buying the house on a mortgage,0,Working full-timeSelf employed,"£24,301- £37,900 p.a.",E09000031,E02000916,4,82.92437534381423,85.3,279.63370943410814
0x4gohk84b3ed91i61s0x4goh7v094mj,Female,30 to 34,"Living with other adults that are non-family members, such as friends/ flatmates",8,2,2,5,Living in rented accommodation from Housing Association,3,Working full-time,"£24,301- £37,900 p.a.",E09000033,E02000972,4,372.93320499747455,38.4,336.07707946133525
0xtdg4sefyow6pnhde30xtdg4sefnmo5,Female,25 to 29,"Living with other adults that are non-family members, such as friends/ flatmates",8,0,2,0,Renting from private landlord,0,Working full-time,"£37,901- £58,900 p.a.",E09000032,E02000949,9,75.0126002708299,81.89999999999999,402.63732096511586
