Age_range_Code,Household_type_code,Life_satisfaction,Isolation_score,Social_support_score,food_security_score,Housing_tenure_group_code,fuel-security_score,Income_Code,Lad_code_code,msoa_code_code,imd_decile,green_space_pct,park_distance_m
3,1,8,0,2,4,2,1,5,09000019,02000566,6,86.2,126.9061470946743
5,4,7,2,2,0,0,0,1,09000028,02000831,3,79.80000000000001,380.1352282887697
8,1,8,0,2,0,4,0,5,09000014,02000410,6,78.4,561.72436036036
4,1,9,0,2,0,2,0,5,09000018,02000528,2,60,283.4253062319996
5,1,7,1,2,3,5,1,2,09000030,02000887,3,68.2,215.18499394512162
7,4,9,1,2,0,4,0,1,09000021,02000601,9,81.89999999999999,367.6958890097082
5,3,8,1,2,0,2,2,0,09000019,02000575,4,30.599999999999998,175.6828659606295
6,4,9,0,1,0,5,0,4,09000031,02000911,2,79.10000000000001,489.41213178452995
2,3,8,1,1,0,2,1,0,09000013,02000374,2,92.4,244.88685063736193
4,1,7,0,2,0,2,1,3,09000009,02000241,4,87.1,415.90098258474535
1,2,8,2,2,0,4,0,0,09000003,02000035,6,71.89999999999999,304.4400930232558
3,4,5,2,2,4,2,5,2,09000022,02000650,2,88.2,296.2617712187496
10,1,4,2,2,0,4,0,0,09000016,02000475,10,74,379.05781504838654
4,2,3,2,2,0,3,2,1,09000030,02000882,2,89.1,156.43089997142783
4,1,8,2,1,0,2,0,0,09000007,02000168,5,85.6,390.6371252747247
1,1,5,2,2,8,2,2,0,09000004,02000084,8,96,447.1174423769633
3,1,8,2,2,1,2,0,5,09000012,02000369,3,48.9,176.6483452802764
3,3,8,1,2,0,2,0,4,09000009,02000268,8,90.4,199.89293881182755
2,1,6,2,1,1,2,0,3,09000007,02000180,7,70.39999999999999,204.7044496687891
5,1,8,0,2,0,5,0,5,09000006,02000141,5,87.6,296.20505518803367
3,2,7,2,2,0,3,0,5,09000003,02000051,7,73.4,265.4326666666667
12,4,7,2,2,0,4,1,1,09000015,02000456,8,92.4,846.074786355138
5,3,7,1,2,6,2,2,2,09000030,02000876,3,67.9,156.93129545744665
11,4,7,0,1,0,4,0,3,09000005,02000112,3,80.10000000000001,370.20698038787816
8,2,4,2,2,7,1,3,3,09000023,02000661,4,74.3,285.6464106543203
3,2,2,2,2,3,2,2,1,09000014,02000419,6,80.5,245.22403665789412
8,1,6,1,1,0,5,0,0,09000023,02000676,4,94.89999999999999,587.1728851351347
10,3,8,2,2,0,5,2,3,09000015,02000455,5,60.699999999999996,581.1251651350204
4,2,5,2,0,5,6,3,3,09000007,02000171,8,78.8,290.83921795744635
5,1,5,2,1,0,2,0,5,09000019,02000569,7,72.8,192.12849821774137
10,4,7,0,2,6,2,4,0,09000014,02000414,3,98.2,248.11167867032927
4,4,6,2,2,3,4,0,2,09000014,02000425,4,94.39999999999999,440.8991517171711
5,2,5,2,1,0,4,0,0,09000015,02000455,3,60.699999999999996,581.1251651350204
2,1,8,2,1,6,0,1,1,09000030,02000866,4,85,138.07461870059817
6,4,9,2,2,9,2,1,2,09000019,02000556,3,82,264.32296750282427
6,4,6,1,2,0,2,1,5,09000033,02000979,4,46.300000000000004,319.85576351016226
4,3,7,2,1,0,2,0,3,09000030,02000865,3,66,234.07618595774605
13,4,10,0,1,0,3,0,1,09000011,02000326,2,86.7,620.0175105714283
2,3,7,2,2,5,2,0,3,09000013,02000388,4,79.60000000000001,312.27774304522575
3,1,8,1,2,0,2,1,5,09000014,02000430,6,83.5,478.9911174496639
10,4,7,2,2,0,0,0,1,09000028,02000807,7,76.9,225.61736722570487
4,1,9,0,2,0,2,0,5,09000026,02000768,8,94.6,238.4582939775277
4,1,10,0,2,2,2,1,2,09000003,02000049,2,74.5,406.25276497695853
1,4,6,1,2,5,1,1,1,09000008,02000225,3,94.39999999999999,356.08654778571383
5,1,8,2,2,0,5,0,5,09000028,02000835,6,78,243.88688451401808
3,4,7,1,1,1,2,0,4,09000008,02000213,2,70.3,785.8384287958096
6,4,6,1,2,0,5,0,4,09000008,02000219,9,93.7,522.7960191052625
6,1,7,2,1,0,5,0,0,09000009,02000276,5,90.2,360.39591854838676
3,3,6,2,2,0,2,2,0,09000013,02000376,3,86.4,281.07855453061177
2,2,7,2,2,1,1,0,0,09000028,02000822,3,57.699999999999996,138.29286937037006
5,4,7,2,2,0,2,0,4,09000007,02000190,6,39.300000000000004,150.64554613419884
9,1,8,0,2,0,5,0,0,09000026,02000759,7,83.7,295.462351934343
3,3,6,2,2,3,2,0,0,09000022,02000620,6,60.4,166.28243417982404
5,4,10,0,0,0,2,0,2,09000022,02000628,2,70.5,171.97836435271273
10,2,7,1,2,6,1,3,3,09000017,02000519,3,82,258.8864942341767
13,1,9,0,2,0,2,1,1,09000009,02000268,8,90.4,199.89293881182755
6,4,5,2,2,3,5,1,0,09000014,02006794,1,73.2,400.3883994461532
3,1,9,0,2,0,2,0,4,09000019,02000567,4,88.5,210.40775958375613
7,2,5,2,2,0,5,0,0,09000032,02000956,2,80.7,325.2688033364479
5,4,6,2,2,9,3,6,3,09000007,02000168,6,85.6,390.6371252747247
10,2,9,2,2,2,4,2,3,09000008,02000234,4,83.5,671.331174090425
5,4,2,2,2,9,2,2,1,09000022,02000638,5,80.10000000000001,217.20054386826297
2,4,7,2,2,9,1,0,1,09000024,02000709,9,99.1,273.9468180329665
5,4,10,2,2,3,2,1,1,09000032,02000938,4,52,380.0074948970583
7,1,8,2,2,4,5,1,3,09000018,02000543,3,70.39999999999999,416.4443602053566
6,2,5,0,1,3,4,1,1,09000013,02000375,4,81.10000000000001,225.77252947058747
3,3,8,2,2,0,2,0,0,09000030,02000888,5,52.2,157.77389103977228
3,2,2,2,2,9,2,4,2,09000004,02000070,5,94.19999999999999,723.0452415231765
2,3,8,2,2,0,2,0,0,09000033,02000969,2,35.8,406.4771433032254
4,4,6,2,2,3,2,2,3,09000005,02000110,5,93.5,356.7285952748088
10,4,8,2,2,8,0,0,1,09000032,02000945,4,74.2,220.0506887265619
8,4,6,2,2,0,5,1,4,09000032,02000947,9,94.1,408.86106411805514
6,1,5,1,2,2,5,0,0,09000019,02000555,6,86.5,219.20242182051246
5,4,10,0,2,0,2,0,5,09000019,02000572,2,63.9,125.96063901111083
7,2,6,0,1,2,3,3,2,09000008,02000210,4,91.7,315.5258907226887
2,3,7,2,1,0,2,2,4,09000013,02000388,4,79.60000000000001,312.27774304522575
3,3,7,2,2,8,2,3,2,09000033,02000964,3,87.5,271.3382244113919
4,4,5,2,2,9,3,3,1,09000022,02000626,2,71.8,213.90085960139803
6,3,8,1,2,0,2,0,4,09000012,02000355,3,90.5,330.4398557586202
9,4,2,2,1,5,1,3,1,09000018,02000526,8,88.8,289.96628517391247
3,1,8,0,1,4,2,2,3,09000016,02000476,6,62.2,315.49705905508455
5,1,5,2,2,9,6,2,2,09000033,02000977,8,39.800000000000004,209.30575298315725
7,4,3,2,2,7,2,1,1,09000007,02000191,6,41.699999999999996,461.1116670987422
4,3,7,2,2,6,2,3,2,09000014,02000417,9,90.60000000000001,411.98585404761855
4,4,7,2,1,3,5,1,4,09000008,02000213,3,70.3,785.8384287958096
5,3,4,2,1,7,2,2,3,09000014,02000423,4,89.4,346.12846874157253
6,2,1,2,1,7,3,2,1,09000013,02000375,2,81.10000000000001,225.77252947058747
2,3,8,0,2,5,2,2,5,09000012,02000371,5,29.9,320.03870264487585
2,3,8,2,1,6,2,2,2,09000012,02000351,3,87.6,224.59069157894692
9,1,7,2,2,2,1,3,0,09000005,02000109,5,39.5,247.73715913358743
5,1,5,2,1,6,2,1,1,09000019,02000568,3,61.1,154.7604152190472
6,3,5,2,1,9,6,5,1,09000031,02000909,5,85.3,463.0460899999995
3,1,7,0,2,6,2,2,2,09000030,02000884,7,36.1,231.90224986281552
7,4,7,2,1,0,3,0,3,09000019,02000561,5,86.7,253.18484848760272
12,4,7,2,2,0,4,1,1,09000032,02000937,9,94.5,278.4041501317825
5,1,7,2,1,0,5,0,2,09000017,02000506,7,92.80000000000001,887.1732435917135
7,4,6,0,2,1,4,2,1,09000014,02000413,9,90.9,431.9664867054792
3,3,8,2,1,0,2,2,0,09000012,02000359,3,93.7,557.0235265176467
8,2,9,0,2,0,5,0,5,09000009,02000272,6,96.7,331.2468311284399
3,4,6,2,2,3,1,4,4,09000007,02000190,6,39.300000000000004,150.64554613419884
1,2,5,2,2,0,2,0,2,09000029,02006836,10,93.8,661.551796571426
10,2,5,1,2,0,5,1,1,09000028,02000835,6,78,243.88688451401808
4,4,6,2,1,7,3,2,3,09000032,02000945,2,74.2,220.0506887265619
3,2,6,2,1,0,0,0,0,09000023,02000664,3,56.8,273.10510197021233
6,4,5,2,1,4,2,1,0,09000007,02000173,7,71.8,554.1735694921459
