msoa_code,green_space_pct,park_distance_m
E02000082,98.0,380.1188067187497
E02000083,91.10000000000001,612.4834745991185
E02000084,96.0,447.1174423769633
E02000085,93.8,244.26826914529906
E02000086,97.0,234.7493332293578
E02000087,88.9,480.66328215591375
E02000088,98.3,463.907707463414
E02000089,97.8,315.60110557142815
E02000090,74.5,425.6907750533329
E02000091,72.5,411.7462820428567
E02000092,90.5,733.0334697199993
E02000093,91.10000000000001,576.2332077616273
E02000094,74.5,388.13080431382934
E02000095,81.69999999999999,349.6899187721512
E02000096,89.2,385.5256860886073
E02000097,96.39999999999999,221.57354105813917
E02000098,88.9,300.57617496078393
E02000099,91.0,823.947128730158
E02000100,91.60000000000001,503.16075178625937
E02000101,74.5,174.1819682206566
E02000102,92.4,475.1846111578945
E02000103,74.2,421.5310455631574
E02000104,85.9,454.26259602586185
E02000105,81.2,313.024998531645
E02000106,87.7,477.388278446927
E02000107,88.1,555.756238303191
E02000108,86.3,310.0244113749996
E02000109,39.5,247.73715913358743
E02000110,93.5,356.7285952748088
E02000111,82.19999999999999,340.89274770121915
E02000112,80.10000000000001,370.20698038787816
E02000113,75.2,410.2280811796402
E02000114,86.7,689.9170669767441
E02000115,83.0,669.8191651552793
E02000116,82.69999999999999,451.5522028759118
E02000117,86.7,427.6443797512432
E02000118,89.1,567.1022262462066
E02000119,82.19999999999999,539.7164986452829
E02000120,82.19999999999999,341.1166594817069
E02000121,75.6,660.2063294578306
E02000122,90.10000000000001,470.3931177254893
E02000123,86.5,375.4397862321425
E02000124,87.5,347.5585171633658
E02000125,94.89999999999999,646.4132978749997
E02000126,70.1,166.23307924242394
E02000127,88.0,734.639436790123
E02000128,91.3,410.11286870289837
E02000130,87.6,372.7339508128651
E02000131,79.7,174.72620705825207
E02000132,62.7,459.6985915719553
E02000133,87.6,603.9535272620684
E02000134,73.4,377.6443237550197
E02000135,77.60000000000001,281.0933161004562
E02000136,94.5,190.3683958239427
E02000137,65.5,806.7915324884787
E02000138,57.199999999999996,466.6568523804875
E02000139,86.3,408.9235957151514
E02000140,92.0,311.68157919047565
E02000141,87.6,296.20505518803367
E02000142,83.89999999999999,519.9973772804873
E02000144,69.39999999999999,333.1562426639001
E02000145,89.0,208.89439072580595
E02000146,85.7,598.6996880122693
E02000147,83.1,442.5483011199996
E02000148,92.10000000000001,411.99356093877503
E02000149,91.7,236.77293813772454
E02000150,92.80000000000001,649.0194565602409
E02000151,98.4,530.9133815312496
E02000152,86.1,464.65734027343706
E02000153,98.0,267.2749260787395
E02000154,86.1,379.3342535555553
E02000155,93.4,513.1842981472868
E02000156,89.3,990.9790786206858
E02000157,94.1,355.6829984821426
E02000158,87.4,462.6669835771805
E02000159,94.3,381.32127166304275
E02000160,89.60000000000001,917.0347844827551
E02000161,95.6,422.6251898024685
E02000162,88.4,397.9460777628201
E02000163,91.9,379.3188213241753
E02000165,95.19999999999999,1245.2675339738519
E02000166,79.9,260.8400465097081
E02000167,76.6,391.614104546099
E02000168,85.6,390.6371252747247
E02000169,89.7,429.83870921276554
E02000170,90.3,388.9405611136359
E02000171,78.8,290.83921795744635
E02000172,66.10000000000001,286.36142564550215
E02000173,71.8,554.1735694921459
E02000174,70.19999999999999,191.33766065333285
E02000175,78.60000000000001,360.39482929473667
E02000176,87.6,374.2222557894733
E02000177,56.3,345.11429809782567
E02000178,83.3,313.49911366423294
E02000179,55.00000000000001,278.7920197119998
E02000180,70.39999999999999,204.7044496687891
E02000181,90.10000000000001,659.2398353521122
E02000182,51.4,578.5387154011295
E02000183,73.5,182.48265371428516
E02000184,43.9,220.19488645771096
E02000185,42.9,574.1803878453034
E02000186,57.699999999999996,235.5808183097343
E02000187,20.8,191.5685459034746
E02000188,27.0,356.45172871165613
E02000189,46.5,161.36150741847783
E02000190,39.300000000000004,150.64554613419884
E02000191,41.699999999999996,461.1116670987422
E02000192,32.5,314.3061343920591
E02000193,32.800000000000004,240.77535917062087
E02000194,82.8,201.43030875879344
E02000195,91.3,432.136278355932
E02000196,86.3,202.81692330303005
E02000197,85.9,241.30148362874198
E02000198,83.5,449.26696099248085
E02000199,97.5,165.4071761199996
E02000200,82.0,265.07205042675133
E02000201,79.80000000000001,247.290142132075
E02000202,91.9,473.89502514285687
E02000203,82.89999999999999,314.3614613999996
E02000204,85.3,539.0898429016387
E02000206,88.4,432.9183089999996
E02000207,87.0,174.7931458307691
E02000208,67.80000000000001,879.1669964122095
E02000209,89.2,405.4403458715591
E02000210,91.7,315.5258907226887
E02000211,90.5,983.6215787978097
E02000212,83.3,726.2428294399995
E02000213,70.3,785.8384287958096
E02000214,94.5,451.61343057009304
E02000215,74.5,716.0455817901232
E02000216,65.60000000000001,445.4240358865244
E02000217,72.8,285.75713658373144
E02000218,78.8,270.108264330578
E02000219,93.7,522.7960191052625
E02000220,47.0,358.4976159353736
E02000221,74.6,506.52873727071784
E02000222,83.3,635.1064868363632
E02000223,92.0,748.2757317241376
E02000224,89.9,380.3279303357137
E02000225,94.39999999999999,356.08654778571383
E02000226,96.7,500.03319671612866
E02000227,89.7,511.4782946551722
E02000228,90.10000000000001,321.5459332484844
E02000229,87.2,315.813228541666
E02000230,79.9,575.4568208401824
E02000231,93.30000000000001,645.639164982954
E02000232,93.89999999999999,960.2815972440912
E02000233,90.3,485.5868548814812
E02000234,83.5,671.331174090425
E02000235,89.9,256.59437451552765
E02000236,95.3,805.2251128461526
E02000237,90.7,353.8252071626501
E02000238,84.0,956.0527256666644
E02000239,96.5,807.9273983464557
E02000240,75.7,448.5867734277775
E02000241,87.1,415.90098258474535
E02000242,86.9,920.2591912621336
E02000243,89.1,400.9947077681155
E02000244,83.89999999999999,607.7698049523805
E02000245,65.9,281.64292554777035
