Gender_Code,Work_Schedule_Code,Age_range_Code,Household_type_code,Life_satisfaction,Isolation_score,Social_support_score,Housing_tenure_group_code,Income_Code,imd_decile,green_space_pct,park_distance_m,crime_rate_per_1000
2,2,8,5,10,0,2,5,5,9,73.3,782.5918817,71.52628694
2,2,4,6,8,2,2,2,2,1,66.0,234.076186,106.554188
1,7,5,3,7,1,2,2,2,3,67.9,156.9312955,106.554188
2,5,7,5,3,2,2,2,2,3,63.0,457.4045969,75.01260027
1,5,12,1,8,0,2,4,4,4,83.1,488.5110043,96.79696038
1,2,5,2,5,0,2,2,0,4,81.9,205.509999,81.460788
2,4,5,4,8,1,2,5,5,4,91.2,435.8042976,81.460788
1,4,7,4,5,2,2,0,0,2,63.5,350.3166793,107.0192611
1,7,5,5,5,2,2,2,1,6,89.1,400.9947078,81.460788
1,8,9,2,7,0,1,1,3,1,80.8,387.3530042,127.4397297
1,2,5,4,7,1,2,2,2,4,90.3,388.9405611,161.7785752
1,6,4,5,4,1,2,5,2,2,82.2,539.7164986,89.33622132
1,2,3,6,6,0,1,2,3,2,94.7,199.5284734,93.94595065
1,3,7,6,8,2,2,2,3,3,82.0,258.8864942,77.02625332
3,4,5,1,6,2,1,6,1,3,93.4,205.8874095,82.92437534
1,2,5,1,8,0,2,2,3,5,82.3,438.8981968,110.3108459
1,2,8,5,9,0,2,4,4,6,80.9,485.4272489,71.52628694
2,2,4,3,9,2,1,2,5,7,67.0,902.9186947,73.10062573
1,3,12,4,4,2,2,4,2,7,91.4,540.5728951,73.74327005
3,6,1,2,3,2,0,0,1,3,88.5,210.4077596,127.4397297
1,2,9,2,8,2,2,5,4,7,89.2,340.7671215,107.0192611
1,2,4,6,10,0,2,4,4,4,93.9,243.2854096,64.7356604
1,3,3,3,6,2,2,2,0,3,84.9,238.6198735,107.0192611
1,2,5,6,8,2,0,2,4,4,87.2,186.6749724,96.79696038
2,5,10,1,6,2,2,5,2,5,32.8,240.7753592,161.7785752
1,2,3,1,7,2,1,5,5,6,88.0,525.2892356,64.10579525
1,2,6,4,6,2,2,5,3,8,94.3,454.3773649,64.10579525
0,5,5,2,4,2,2,8,3,3,30.6,175.682866,127.4397297
1,2,8,6,7,0,2,4,0,7,96.7,591.5766522,75.01260027
1,2,6,5,5,2,1,5,4,3,88.1,555.7562383,89.33622132
1,2,6,5,9,1,2,2,0,10,96.1,578.1108645,64.7356604
1,2,5,3,4,2,0,2,3,4,86.2,238.4656339,107.0192611
1,2,9,5,6,0,2,4,5,6,91.0,269.7703135,127.4397297
1,9,4,5,9,0,2,5,4,4,90.1,466.077237,64.46313682
1,12,3,3,8,2,2,5,0,4,88.5,253.4019849,107.0192611
1,2,7,4,9,0,2,5,4,2,57.5,228.9152562,112.8953553
1,7,3,3,6,2,2,2,3,5,48.5,246.4931877,75.01260027
1,3,2,2,5,2,1,2,1,6,87.0,374.2086874,75.01260027
1,3,3,3,6,2,1,2,2,5,29.9,320.0387026,121.6670744
1,7,3,3,7,2,2,2,2,5,87.6,224.5906916,121.6670744
1,9,5,5,9,0,2,4,5,9,82.9,240.109121,59.12433069
1,8,4,6,8,1,1,2,2,4,93.5,356.7285953,89.33622132
2,2,5,4,10,0,0,2,2,2,70.5,171.9783644,107.0192611
1,2,4,1,9,0,2,5,5,6,78.3,271.2329503,96.79696038
1,8,8,5,5,2,2,2,0,5,89.4,151.178785,93.94595065
1,2,9,5,8,2,2,5,5,5,87.1,588.6223879,75.01260027
1,2,2,1,7,2,0,2,5,8,28.8,249.6176863,112.8953553
1,9,5,5,9,0,2,5,5,4,52.0,380.0074949,75.01260027
1,3,1,2,5,2,2,1,1,8,68.5,503.0448939,372.933205
1,3,2,2,8,2,2,2,2,8,85.6,514.791856,73.10062573
1,5,11,5,5,2,2,5,1,10,92.9,452.5629203,64.10579525
1,2,3,1,3,2,2,2,4,3,70.6,258.2009172,106.554188
2,2,4,1,8,0,2,5,3,3,97.0,264.3067567,82.92437534
1,2,10,2,8,2,2,1,2,4,57.5,167.3391426,106.554188
2,2,6,4,9,2,1,5,5,8,90.7,209.4413019,81.460788
